Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
NIIS.BEL,NIS ad Novi Sad,73.88254,,16.83908,,410996330000.0,0.22259,101097448000.0,30.36721,262816533000.0,410996330000.0
IOG.L,Iog PLC,79.2937,0.0,,,180689000.0,2.52348,188555116.32,362.71186,28320000.0,180689000.0
2222.SE,Saudi Arabian Oil Co,57.53557,46.41,46.40874,46.5,2162690000000.0,0.1427,7160000000000.0,39.89488,1113257000000.0,2162690000000.0
RNFT.MM,NK Russneft' PAO,54.70645,,30.5899,,286968000000.0,1.02523,45118008000.0,115.09124,64221000000.0,286968000000.0
UNTC.PK,Unit Corp,73.55122,,0.35752,,629477000.0,-0.11244,324616195.1,4.80399,187397000.0,629477000.0
XOM.N,Exxon Mobil Corp,70.21217,,,-2.9,332750000000.0,0.38637,174287810179.08,41.29592,157150000000.0,332750000000.0
TTEF.PA,TotalEnergies SE,40.70724,7.42,,42.68,266132000000.0,0.39541,114381140794.455,71.34562,103702000000.0,266132000000.0
BP.L,BP PLC,42.90465,16.0,,-18.63333,267654000000.0,0.61237,70878086579.5425,95.74374,71250000000.0,267654000000.0
CVX.N,Chevron Corp,66.96151,,,28.84286,239790000000.0,0.29149,162570066548.85,33.38833,131688000000.0,239790000000.0
TTLC.CI,Total Cote d'Ivoire SA,48.94234,,23.62781,,127215000000.0,0.29339,107034720000.0,43.84642,43365000000.0,127215000000.0
OXY.N,Occidental Petroleum Corp,83.62185,,,14.35,80064000000.0,1.84014,16119236358.45,194.82582,18573000000.0,80064000000.0
GAZP.MM,Gazprom PAO,69.79393,,-21.68144,,23352185000000.0,0.26941,5035119458701.0,34.85746,14237943000000.0,23352185000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,58.45527,,,,5530001000000.0,0.36593,1788870601375.39,45.67993,2230715000000.0,5530001000000.0
MGMC.OM,Muscat Gases Company SAOG,28.89845,,13.43293,,10344879.0,-0.52416,6210000.0,15.87899,6647682.0,10344879.0
IMO.TO,Imperial Oil Ltd,84.72562,,,-0.05,38031000000.0,0.20604,17735294400.8,24.20394,21418000000.0,38031000000.0
SU.TO,Suncor Energy Inc,83.2183,,,-0.15,84616000000.0,0.55413,32561969451.9,60.68462,35757000000.0,84616000000.0
ENI.MI,Eni SpA,53.43098,139.2,,191.58333,109648000000.0,0.44779,30820624760.704,84.55978,37415000000.0,109648000000.0
600028.SS,China Petroleum & Chemical Corp,52.22613,15.0105,13.09634,18.75,1738896000000.0,0.13823,459613625323.526,34.57298,747294000000.0,1738896000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,71.44396,,,,31477175149.35,4.31788,4795059881.5227,498.91313,3877363308.33,31477175149.35
PETR4.SA,Petroleo Brasileiro SA Petrobras,65.36577,,-16781.08108,,987419000000.0,1.05502,373476694608.62,126.16037,308410000000.0,987419000000.0
OMVV.VI,OMV AG,38.97424,-68.91429,-68.91429,31.8,49271000000.0,0.4564,10799999991.0,59.98291,10512000000.0,49271000000.0
REP.MC,Repsol SA,42.44655,33.11,,36.4,49302000000.0,0.4603,12935097144.75,75.75344,20295000000.0,49302000000.0
LKOH.MM,NK Lukoil PAO,71.17446,,83.16276,,5991579000000.0,0.07445,3580730258016.0,15.97067,4123014000000.0,5991579000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,53.78662,29.11425,29.09802,31.47143,5432787530000.0,0.49692,1285075520892.9,54.817,2213506500000.0,5432787530000.0
YPFD.BA,YPF SA,74.02192,,,,1923225000000.0,0.938,272864133054.55,106.02594,677230000000.0,1923225000000.0
SNGS.MM,Surgutneftegaz PAO,29.88937,,16.46222,,5875687000000.0,-0.25784,1612993284852.88,1.66185,5160070000000.0,5875687000000.0
SIBN.MM,Gazprom Neft' PAO,68.56191,,15.91761,,4259174000000.0,0.28356,1502754920581.05,38.87623,2084638000000.0,4259174000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,64.57297,,29.43723,,22926000000.0,0.36353,43992110750.0,61.96019,11856000000.0,22926000000.0
600256.SS,Guanghui Energy Co Ltd,70.13628,29.6437,29.6437,,54120478466.57,1.4175,19113912767.4,156.32353,16913977284.42,54120478466.57
EQNR.OL,Equinor ASA,54.89027,56.874,,48.26,124809000000.0,0.60463,55302020604.0393,112.46017,33873000000.0,124809000000.0
