Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
ECO.CN,Ecopetrol SA,68.00167,36.88,36.87588,35.5,126240620000000.0,0.44566,108753657455050.0,64.18178,57213607000000.0,126240620000000.0
CVE.TO,Cenovus Energy Inc,83.82044,,,24.75,35174000000.0,0.48128,11796384000.0,52.59904,17468000000.0,35174000000.0
NIIS.BEL,NIS ad Novi Sad,67.80509,,18.5359,,395985343000.0,0.20952,112315757438.715,28.24845,242875804000.0,395985343000.0
IOG.L,Iog PLC,91.76767,,,,45297000.0,,24739290.42,,-5776000.0,45297000.0
2222.SE,Saudi Arabian Oil Co,64.87729,,47.79796,,1346892000000.0,-0.0803,,9.85167,1016782000000.0,1346892000000.0
RNFT.MM,NK Russneft' PAO,53.55071,,31.00598,,253048000000.0,1.23096,155530656000.0,126.81321,59368000000.0,253048000000.0
UNTC.PK,Unit Corp,90.15079,46.04,,40.76667,2698053000.0,0.40041,771948468.48,40.44541,1390881000.0,2698053000.0
XOM.N,Exxon Mobil Corp,72.45097,23.61,25.53283,29.01429,348691000000.0,0.20133,354391552280.28,21.76658,187688000000.0,348691000000.0
TTEF.PA,TotalEnergies SE,45.08781,26.73905,26.73905,35.5,242631000000.0,0.13108,139544078744.089,45.03275,111556000000.0,242631000000.0
BP.L,BP PLC,46.82241,37.28,39.73538,40.7625,276515000000.0,0.3885,139954398063.636,62.97558,98491000000.0,276515000000.0
CVX.N,Chevron Corp,70.01883,20.09,21.38597,28.0,253806000000.0,0.22731,237782622046.32,25.95986,148124000000.0,253806000000.0
TTLC.CI,Total Cote d'Ivoire SA,41.06812,,27.09444,,106898000000.0,-0.06787,245550240000.0,24.55636,34093000000.0,106898000000.0
OXY.N,Occidental Petroleum Corp,74.17789,37.0,2.78064,39.42,42026000000.0,0.39646,56367972260.02,47.77367,20572000000.0,42026000000.0
GAZP.MM,Gazprom PAO,68.78248,,24.66852,,18238770000000.0,0.19695,3089393433450.0,27.18591,11629086000000.0,18238770000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,53.43399,13.46359,13.46359,,4231700000000.0,0.20699,2462371596120.0,32.11341,1750557000000.0,4231700000000.0
MGMC.OM,Muscat Gases Company SAOG,24.8719,,17.05375,,10758641.0,-0.44573,16740000.0,6.73674,8726963.0,10758641.0
IMO.TO,Imperial Oil Ltd,82.8658,22.18,15.80756,24.4,41601000000.0,0.16419,32718868931.74,21.3096,24435000000.0,41601000000.0
SU.TO,Suncor Energy Inc,84.41348,24.64503,24.64503,25.75,89494000000.0,0.2844,76011941943.6,34.32783,45383000000.0,89494000000.0
ENI.MI,Eni SpA,54.95441,63.12,50.65751,64.36667,114928000000.0,0.23139,50151757554.0,51.38834,48030000000.0,114928000000.0
600028.SS,China Petroleum & Chemical Corp,48.2242,18.80378,18.80378,23.775,1595504000000.0,-0.03423,707517214012.047,21.89141,727244000000.0,1595504000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,71.78268,664.99188,664.99194,,25701512748.4,3.67984,8680453140.20242,420.82771,3713739076.51,25701512748.4
PETR4.SA,Petroleo Brasileiro SA Petrobras,70.27618,93.89375,93.89375,,831515000000.0,1.04133,216044788428.02,134.07676,263985000000.0,831515000000.0
OMVV.VI,OMV AG,43.2417,25.0,42.66487,29.98,31576000000.0,0.13925,17289818167.41,41.76085,8985000000.0,31576000000.0
REP.MC,Repsol SA,41.09795,23.2,39.26617,30.8,59857000000.0,0.26458,22950075908.925,42.81438,29797000000.0,59857000000.0
LKOH.MM,NK Lukoil PAO,68.4083,,19.79496,,5226215000000.0,0.07633,2836203173797.5,17.65873,3482951000000.0,5226215000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,50.26135,33.726,33.51276,32.87778,4575463230000.0,0.35413,2281749215004.0,46.54408,2027639980000.0,4575463230000.0
YPFD.BA,YPF SA,70.08708,,-45.60496,,505718000000.0,0.97939,165857819580.25,125.26011,152295000000.0,505718000000.0
SNGS.MM,Surgutneftegaz PAO,33.74681,,20.98542,,4239690000000.0,-0.2384,1213170732646.52,5.21178,3612899000000.0,4239690000000.0
SIBN.MM,Gazprom Neft' PAO,70.04332,,17.07319,,2930008000000.0,0.36259,1157351241879.9,42.34965,1553257000000.0,2930008000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,49.37596,,19.73681,,23540649000.0,1.24004,7607658250.0,161.88381,7848298000.0,23540649000.0
600256.SS,Guanghui Energy Co Ltd,83.73904,45.39887,45.49238,25.0,45093857774.19,1.45257,26420408901.04,158.03057,11887145455.43,45093857774.19
EQNR.OL,Equinor ASA,57.27903,65.7377,65.7377,68.38333,111100000000.0,0.39797,70941757992.6404,70.88881,39861000000.0,111100000000.0
ROSNP.BX,OMV Petrom SA,64.53704,,14.2835,,42058790000.0,-0.11052,32261814760.814,3.80669,28479670000.0,42058790000.0
PTT.BK,PTT PCL,53.11374,13.29397,13.29397,17.38,2232314156996.0,0.10727,1256771835000.0,42.40742,818671751122.0,2232314156996.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,16.55172,,32.50054,,166608323.18,1.07284,33206417.6118216,157.5318,52938814.84,166608323.18
NVTK.MM,Novatek PAO,34.48229,,17.11271,,1044162000000.0,0.12519,2057704576200.0,21.02032,757839000000.0,1044162000000.0
PEA.TO,Pieridae Energy Ltd,62.97387,,,,74045000.0,-0.32683,212984113.18,0.36724,59469000.0,74045000.0
ENER.KW,Energy House Holding Company KSCP,16.22506,,,,48448298.0,0.14045,21600000.0,18.00731,29165948.0,48448298.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,67.32361,25.52269,25.52269,,48203000000.0,0.01244,36345600450.53,8.7399,34393000000.0,48203000000.0
SHEL.L,Shell PLC,55.60837,25.9,14.86486,35.7,407097000000.0,0.33099,280180052909.152,43.30627,194356000000.0,407097000000.0
ECHOE.L,Echo Energy PLC,1.24161,,,,31010679.0,-0.91895,67112391.391809,130.71748,11960989.0,31010679.0
DANA.AD,Dana Gas PJSC,38.6568,,31.40496,,3782000000.0,0.03697,1538877232.12788,25.218,2866000000.0,3782000000.0
ROSN.MM,NK Rosneft' PAO,64.79921,,24.81013,,12227000000000.0,0.72699,3089368833655.5,88.42936,3619000000000.0,12227000000000.0
GALP.LS,Galp Energia SGPS SA,43.09186,37.04,44.97992,47.21429,12051000000.0,0.3222,11818197429.325,53.34833,4344000000.0,12051000000.0
GSP.MI,Gas Plus SpA,20.53722,,30.79678,,529731000.0,0.23922,117483565.92,30.6141,214583000.0,529731000.0
INAI.ZA,INA dd,62.37865,,21.86701,,19263000000.0,0.1212,32007395626.2425,15.83377,11660000000.0,19263000000.0
601857.SS,PetroChina Co Ltd,70.77832,30.696,30.69721,22.62,2404910000000.0,0.24598,1405711963083.13,34.45053,1193810000000.0,2404910000000.0
ECO.CN,Ecopetrol SA,69.53176,41.15,43.22315,53.6,118892558000000.0,0.65555,90867895264900.0,87.47829,47898631000000.0,118892558000000.0
CVE.TO,Cenovus Energy Inc,81.27672,,-2.34657,15.5,40933000000.0,0.44647,14105446507.88,47.70032,19981000000.0,40933000000.0
NIIS.BEL,NIS ad Novi Sad,64.35689,21.03544,21.20588,,387554372000.0,0.13751,117649464943.482,29.18987,225051510000.0,387554372000.0
IOG.L,Iog PLC,94.2611,0.0,,0.0,22635000.0,,23140353.5825,,-4766000.0,22635000.0
2222.SE,Saudi Arabian Oil Co,68.12679,,51.04912,,1102553000000.0,-0.01222,,9.39086,813758000000.0,1102553000000.0
RNFT.MM,NK Russneft' PAO,54.4016,,35.2451,,225043000000.0,1.18973,179972028000.0,121.90914,51742000000.0,225043000000.0
UNTC.PK,Unit Corp,92.30239,,39.2704,35.73333,2581452000.0,0.65691,1163352520.0,65.74281,1345560000.0,2581452000.0
XOM.N,Exxon Mobil Corp,73.93692,-5.09474,-5.09474,27.06,330314000000.0,0.22496,374280539604.76,24.5999,167325000000.0,330314000000.0
TTEF.PA,TotalEnergies SE,48.47691,25.0,13.51728,28.89,230978000000.0,0.23856,124367528839.024,52.5095,98680000000.0,230978000000.0
BP.L,BP PLC,49.27805,,,21.33333,263316000000.0,0.35906,122416683608.961,60.20053,95286000000.0,263316000000.0
CVX.N,Chevron Corp,70.05052,,,147.46667,260078000000.0,0.26666,222190448964.0,31.43768,145556000000.0,260078000000.0
TTLC.CI,Total Cote d'Ivoire SA,39.42148,,35.30466,,99149000000.0,0.07285,251909361600.0,32.81171,31504000000.0,99149000000.0
OXY.N,Occidental Petroleum Corp,75.01218,,,26.34,43109000000.0,0.35289,54433146498.85,45.67614,21497000000.0,43109000000.0
GAZP.MM,Gazprom PAO,67.98741,,22.41269,,16918938000000.0,0.16793,3658741418695.0,24.73049,11094531000000.0,16918938000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,53.44867,7.068,7.66411,11.3,4103786000000.0,0.32675,2113603905405.0,48.411,1502625000000.0,4103786000000.0
MGMC.OM,Muscat Gases Company SAOG,24.5025,,21.50928,,10603000.0,-0.09345,18360000.0,,8240000.0,10603000.0
IMO.TO,Imperial Oil Ltd,87.22572,,11.41571,21.1,41654000000.0,0.19356,39591349803.81,20.91843,25021000000.0,41654000000.0
SU.TO,Suncor Energy Inc,82.63286,27.0,-417.44186,-48.8,88702000000.0,0.32297,73166637268.3,39.05445,44630000000.0,88702000000.0
ENI.MI,Eni SpA,56.8413,79.7,217.04036,116.325,124545000000.0,0.28559,56220847055.1,51.31108,53037000000.0,124545000000.0
600028.SS,China Petroleum & Chemical Corp,54.72909,25.92361,25.92361,24.55,1498609000000.0,0.06741,642613189867.249,23.85754,712232000000.0,1498609000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,72.70974,29.90809,30.59463,26.51,21723053987.49,3.01603,11090791091.6668,348.91077,3737734691.57,21723053987.49
PETR4.SA,Petroleo Brasileiro SA Petrobras,71.04535,24.41,,8.1,804945000000.0,1.22196,209377549423.04,150.55095,250230000000.0,804945000000.0
OMVV.VI,OMV AG,45.50635,-20.43,,5.626,32112000000.0,0.22779,10983272718.12,37.88869,8684000000.0,32112000000.0
REP.MC,Repsol SA,42.09317,23.31544,20.89792,24.08889,64849000000.0,0.2833,20081753100.42,47.71332,30871000000.0,64849000000.0
LKOH.MM,NK Lukoil PAO,67.62886,23.805,23.8053,20.0,5014673000000.0,0.13021,2933592666495.0,21.64383,3220880000000.0,5014673000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,48.88518,30.80447,30.07949,31.80909,4453974780000.0,0.28135,2374148508300.0,38.64263,1951712650000.0,4453974780000.0
YPFD.BA,YPF SA,73.13832,,,,421139000000.0,1.14646,101854594597.0,130.07222,118755000000.0,421139000000.0
SNGS.MM,Surgutneftegaz PAO,33.95548,,,,3921585000000.0,-0.13711,1352722619516.2,3.08407,3445167000000.0,3921585000000.0
SIBN.MM,Gazprom Neft' PAO,67.73139,19.19,19.19326,20.0,2548811000000.0,0.41593,1014638122746.0,46.83724,1360140000000.0,2548811000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,75.37148,,19.44204,,15541241000.0,1.13875,13148018062.5,114.17108,6348086000.0,15541241000.0
600256.SS,Guanghui Energy Co Ltd,83.99887,,40.25684,,43332669907.93,1.6599,24384053274.28,185.00162,11132627440.27,43332669907.93
EQNR.OL,Equinor ASA,56.97503,105.1,,92.73636,104530000000.0,0.53868,59513236853.3519,90.23904,35072000000.0,104530000000.0
ROSNP.BX,OMV Petrom SA,68.39589,17.96779,17.96779,12.8,41414110000.0,-0.01676,29662156190.3922,6.58802,26769350000.0,41414110000.0
PTT.BK,PTT PCL,55.73334,17.12411,17.12411,18.58,2232331083355.0,0.18934,1062543460500.0,52.39426,762947649190.0,2232331083355.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,17.48647,,27.98614,,156090984.99,0.82344,23828130.0,119.32087,49969571.72,156090984.99
NVTK.MM,Novatek PAO,34.4245,,13.98314,,963834000000.0,0.25613,2404450721400.0,32.95703,648350000000.0,963834000000.0
PEA.TO,Pieridae Energy Ltd,49.91886,,,,91218740.0,-0.00764,20119604.7,0.2917,74718001.0,91218740.0
ENER.KW,Energy House Holding Company KSCP,13.80796,,,,51169175.0,0.02612,31500000.0,17.30995,32637743.0,51169175.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,66.73579,26.82243,26.82243,19.0,49672000000.0,0.01593,33217000000.0,19.34757,32828000000.0,49672000000.0
SHEL.L,Shell PLC,57.40636,14.788,14.78773,38.645,411275000000.0,0.39093,229753726443.549,49.05602,186646000000.0,411275000000.0
ECHOE.L,Echo Energy PLC,0.38679,,,,1163136.5341,-0.35995,2192904.00529211,0.0,633494.52285,1163136.5341
DANA.AD,Dana Gas PJSC,29.34927,,,,3765000000.0,0.17326,1024824396.51407,28.50467,2781000000.0,3765000000.0
ROSN.MM,NK Rosneft' PAO,64.32491,,36.59306,,11117000000000.0,0.56848,4268946024687.6,89.52935,3302000000000.0,11117000000000.0
GALP.LS,Galp Energia SGPS SA,47.5122,77.479,61.26011,37.15,12439145000.0,0.28566,10942918206.99,44.36056,4980471000.0,12439145000.0
GSP.MI,Gas Plus SpA,20.03005,,,,531801000.0,0.10977,108950738.12,19.45411,213803000.0,531801000.0
INAI.ZA,INA dd,61.96038,,79.39262,,20292000000.0,0.23648,28993500000.0,29.41399,10733000000.0,20292000000.0
601857.SS,PetroChina Co Ltd,72.55149,34.93,34.91326,30.28,2396950000000.0,0.31142,1396475686423.18,38.32435,1189319000000.0,2396950000000.0
ECO.CN,Ecopetrol SA,69.74853,,65.94436,,121307418000000.0,0.84829,56741038672200.0,115.23026,43673854000000.0,121307418000000.0
CVE.TO,Cenovus Energy Inc,71.3081,-33.04,,36.33333,25258000000.0,0.22761,16913859129.3,54.85764,11590000000.0,25258000000.0
NIIS.BEL,NIS ad Novi Sad,64.16571,,14.89778,,374316520000.0,0.25647,120182119356.705,37.16488,201480512000.0,374316520000.0
IOG.L,Iog PLC,54.21557,0.0,,0.0,13889000.0,,20624365.76625,,-4300000.0,13889000.0
2222.SE,Saudi Arabian Oil Co,67.54162,,83.69675,,940703000000.0,-0.01137,,7.13392,724590000000.0,940703000000.0
RNFT.MM,NK Russneft' PAO,52.27484,,28.5608,,214455000000.0,1.27506,164236608000.0,137.90008,45051000000.0,214455000000.0
UNTC.PK,Unit Corp,92.0059,37.67017,,38.0,2479303000.0,0.72563,1383450799.66,72.63804,1194070000.0,2479303000.0
XOM.N,Exxon Mobil Corp,74.71389,24.65173,24.65173,31.13333,336758000000.0,0.19785,324501057010.4,21.88055,170811000000.0,336758000000.0
TTEF.PA,TotalEnergies SE,48.78655,33.1,25.67169,38.93333,224484000000.0,0.25786,109282420097.963,56.66237,92494000000.0,224484000000.0
BP.L,BP PLC,49.55773,31.0,,24.77778,261832000000.0,0.26995,95898081996.1387,54.03966,97216000000.0,261832000000.0
CVX.N,Chevron Corp,71.21645,2.72615,2.72615,27.1,264540000000.0,0.17686,169308021891.84,25.05036,152716000000.0,264540000000.0
TTLC.CI,Total Cote d'Ivoire SA,35.30635,,31.25,,95725000000.0,0.05912,125923200000.0,20.95446,32542000000.0,95725000000.0
OXY.N,Occidental Petroleum Corp,72.88581,13.73399,,38.375,43409000000.0,0.20961,51636182238.31,34.10678,24350000000.0,43409000000.0
GAZP.MM,Gazprom PAO,64.53117,12.97,12.97413,20.0,17052040000000.0,0.1897,3221728370561.0,31.53765,10589586000000.0,17052040000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,56.30746,-7.21118,,16.6,3914883000000.0,0.25195,1489910989420.0,36.79989,1452219000000.0,3914883000000.0
MGMC.OM,Muscat Gases Company SAOG,59.10935,,9.32192,,10372204.0,-0.10519,24840000.0,,8485711.0,10372204.0
IMO.TO,Imperial Oil Ltd,87.55849,25.5,41.65367,-415.0,43170000000.0,0.35488,38209763415.88,36.35432,23425000000.0,43170000000.0
SU.TO,Suncor Energy Inc,81.04531,26.97,,72.5,77527000000.0,0.28828,51634696658.4,39.19926,39039000000.0,77527000000.0
ENI.MI,Eni SpA,48.92411,95.1,,80.30833,139001000000.0,0.30089,50151757554.0,48.41227,55493000000.0,139001000000.0
600028.SS,China Petroleum & Chemical Corp,61.20318,22.53972,22.48587,24.7,1447268000000.0,0.2402,573987901449.37,32.84315,677538000000.0,1447268000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,73.23026,27.50124,27.46297,25.0,17699935854.61,2.16171,16022742551.652,270.22509,3615818821.82,17699935854.61
PETR4.SA,Petroleo Brasileiro SA Petrobras,69.97073,14.69,,,900135000000.0,1.49517,101315518676.54,188.63335,254731000000.0,900135000000.0
OMVV.VI,OMV AG,50.33064,34.25877,,9.02,32664000000.0,0.27752,8551636356.51,37.60666,9441000000.0,32664000000.0
REP.MC,Repsol SA,44.62624,45.17588,,26.88333,63196000000.0,0.42455,14590847066.84,56.69992,28541000000.0,63196000000.0
LKOH.MM,NK Lukoil PAO,67.94304,24.76433,24.76433,20.0,5020607000000.0,0.17908,1995336339904.5,26.60518,3222468000000.0,5020607000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,50.42409,37.04998,34.66292,33.08333,3425856280000.0,0.09131,1831730434692.0,22.92571,1978136420000.0,3425856280000.0
YPFD.BA,YPF SA,74.53646,84.77,84.77101,71.0,363453000000.0,0.74348,86497753210.85,87.78858,120413000000.0,363453000000.0
SNGS.MM,Surgutneftegaz PAO,30.37666,14.654,17.17729,,4051759000000.0,-0.15426,1554411542045.25,2.32863,3582439000000.0,4051759000000.0
SIBN.MM,Gazprom Neft' PAO,63.87748,20.114,20.11138,17.6,2485466000000.0,0.51161,729923079424.05,65.52705,1157069000000.0,2485466000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,86.71551,,23.12322,,11638317000.0,0.93289,13230710000.0,93.75593,5196182000.0,11638317000.0
600256.SS,Guanghui Energy Co Ltd,82.1729,,24.07202,,40870858648.45,1.51111,34826902642.28,169.96539,10875922370.48,40870858648.45
EQNR.OL,Equinor ASA,56.50161,54.03,9500.0,60.50091,109742000000.0,0.35703,44920751949.2865,80.11264,40271000000.0,109742000000.0
ROSNP.BX,OMV Petrom SA,71.20501,5.0,,3.9375,41118160000.0,0.04006,16426791417.15,8.17019,25743130000.0,41118160000.0
PTT.BK,PTT PCL,52.37416,19.159,44.05537,10.56333,2173996186034.0,0.2876,696937108500.0,60.61566,697147025225.0,2173996186034.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,20.36297,,34.16499,,131448769.11,0.73392,19539066.6,126.0822,49060188.8,131448769.11
NVTK.MM,Novatek PAO,37.69352,20.252,20.25156,,880024000000.0,0.76959,1794456846000.0,83.77611,426079000000.0,880024000000.0
PEA.TO,Pieridae Energy Ltd,48.82378,,,,89846211.0,-0.04432,23636254.6,0.03612,74346961.0,89846211.0
ENER.KW,Energy House Holding Company KSCP,14.84893,,,,68822950.0,-0.06043,30375000.0,2.65217,53420080.0,68822950.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,68.26597,29.13,29.13072,7.13333,48292000000.0,0.0114,30326000000.0,20.20643,31579000000.0,48292000000.0
SHEL.L,Shell PLC,53.75106,23.28,-7.47435,32.76071,340157000000.0,0.16543,146925306331.916,35.57071,162876000000.0,340157000000.0
ECHOE.L,Echo Energy PLC,0.18036,,,,9092446.79597,-0.02032,3341820.03736073,,7345952.95643,9092446.79597
DANA.AD,Dana Gas PJSC,26.38037,8.33,8.28025,,3912000000.0,0.1334,967968792.390239,29.98955,2870000000.0,3912000000.0
ROSN.MM,NK Rosneft' PAO,61.14914,22.609,22.6087,,9642000000000.0,0.57153,2683988532155.25,109.90099,2886000000000.0,9642000000000.0
GALP.LS,Galp Energia SGPS SA,40.77003,41.443,58.61597,32.1375,12793031000.0,0.39131,8266954417.12,57.40144,4772078000.0,12793031000.0
GSP.MI,Gas Plus SpA,18.84301,,,,544536000.0,0.05228,162123728.2,20.93719,223120000.0,544536000.0
INAI.ZA,INA dd,62.45707,,,,20382000000.0,0.28644,29513600000.0,31.24232,10585000000.0,20382000000.0
601857.SS,PetroChina Co Ltd,74.53316,27.167,27.16707,14.06667,2394094000000.0,0.35266,1441833860553.74,40.74774,1179968000000.0,2394094000000.0
ECO.CN,Ecopetrol SA,72.42036,,,,122995950000000.0,1.00439,45639535286160.0,117.66805,43356713000000.0,122995950000000.0
CVE.TO,Cenovus Energy Inc,73.32015,32.38,-2.69663,12.625,25791000000.0,0.20168,14580898097.5,53.29675,12391000000.0,25791000000.0
NIIS.BEL,NIS ad Novi Sad,67.54174,,23.34248,,366015781000.0,0.51342,97836240000.0,61.56325,190697814000.0,366015781000.0
IOG.L,Iog PLC,0.0,0.0,0.0,,16334000.0,0.10663,11807654.25,10.83408,13476000.0,16334000.0
2222.SE,Saudi Arabian Oil Co,,,,,,,,,,
RNFT.MM,NK Russneft' PAO,49.12233,,,,213862000000.0,,,,-20952000000.0,213862000000.0
UNTC.PK,Unit Corp,92.18831,38.87297,,38.13333,2799842000.0,0.71608,615055777.6,71.67139,1313580000.0,2799842000.0
XOM.N,Exxon Mobil Corp,72.29558,34.8925,34.8925,39.95,349493000000.0,0.13534,388382450000.0,16.08326,174399000000.0,349493000000.0
TTEF.PA,TotalEnergies SE,46.50867,57.1,66.96206,53.37778,229798000000.0,0.31011,122333778663.521,59.31616,90330000000.0,229798000000.0
BP.L,BP PLC,45.96894,36.0,19.13131,22.73333,284305000000.0,0.20207,116711725255.287,46.92211,111441000000.0,284305000000.0
CVX.N,Chevron Corp,68.8553,38.11294,38.11294,40.05,266026000000.0,0.09349,212067807509.3,17.81025,155028000000.0,266026000000.0
TTLC.CI,Total Cote d'Ivoire SA,26.60429,,28.773,,77168000000.0,-0.15784,117738192000.0,3.24763,31038000000.0,77168000000.0
OXY.N,Occidental Petroleum Corp,70.61981,137.6634,137.6634,40.33333,56259000000.0,0.08722,62507258254.29,19.56006,34959000000.0,56259000000.0
GAZP.MM,Gazprom PAO,65.55908,,48.76786,20.0,15177470000000.0,0.16204,3084895465999.0,26.56935,9816558000000.0,15177470000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,53.68044,-11.83765,,29.6,4642022000000.0,0.23487,1206665897780.0,43.91216,1749745000000.0,4642022000000.0
MGMC.OM,Muscat Gases Company SAOG,55.31723,,11.1324,,9380813.0,-0.04808,24840000.0,,7263082.0,9380813.0
IMO.TO,Imperial Oil Ltd,87.12711,,24.61661,,40830000000.0,0.29632,42422330500.55,30.58589,22530000000.0,40830000000.0
SU.TO,Suncor Energy Inc,77.88028,41.19826,41.19826,33.3,79671000000.0,0.1883,53434580667.3,32.03855,41603000000.0,79671000000.0
ENI.MI,Eni SpA,50.53736,65.5,78.14842,63.88,150366000000.0,0.21322,52732029138.3,39.44334,63186000000.0,150366000000.0
600028.SS,China Petroleum & Chemical Corp,60.71182,26.43,26.43011,25.55,1451368000000.0,0.50068,729656826010.946,51.62874,594483000000.0,1451368000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,74.57128,24.52767,24.52767,,14227593398.92,2.98907,14039143560.2319,352.69512,2105652753.82,14227593398.92
PETR4.SA,Petroleo Brasileiro SA Petrobras,73.23019,15.559,,3.35,793375000000.0,0.90767,127505603957.54,112.97398,308848000000.0,793375000000.0
OMVV.VI,OMV AG,54.60936,30.0,33.4596,22.25714,33855000000.0,0.33244,7203272721.27,38.16315,10849000000.0,33855000000.0
REP.MC,Repsol SA,33.03398,13.01248,13.01248,29.53636,51889000000.0,0.09857,21369621603.265,37.03441,27946000000.0,51889000000.0
LKOH.MM,NK Lukoil PAO,66.5459,,18.72292,,4738953000000.0,0.18901,1892503242375.0,24.79448,3037378000000.0,4738953000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,51.91758,35.43033,35.43033,33.95071,3271386880000.0,0.15071,2620974398262.0,22.90701,1888772050000.0,3271386880000.0
YPFD.BA,YPF SA,75.2467,,59.90848,,208554000000.0,0.54337,123877209645.0,67.74433,72630000000.0,208554000000.0
SNGS.MM,Surgutneftegaz PAO,33.64927,17.26968,17.26968,8.4,3306093000000.0,-0.24382,1067445833402.92,1.74865,2908879000000.0,3306093000000.0
SIBN.MM,Gazprom Neft' PAO,61.67637,13.172,13.172,20.2,2097724000000.0,0.38186,678005848377.0,49.87029,1065748000000.0,2097724000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,80.80256,,22.83237,,9782447000.0,0.69299,12403790625.0,69.63277,4927169000.0,9782447000.0
600256.SS,Guanghui Energy Co Ltd,79.59539,,12.08991,,37636264252.2,1.33928,43651110358.24,155.78861,10801321842.49,37636264252.2
EQNR.OL,Equinor ASA,56.98407,71.3,78.28249,54.08889,132702000000.0,0.23408,56301796637.3191,60.75036,51225000000.0,132702000000.0
ROSNP.BX,OMV Petrom SA,74.87493,27.82605,27.82605,,43124770000.0,0.01857,23110796200.68,7.99244,27041570000.0,43124770000.0
PTT.BK,PTT PCL,50.55273,39.63108,35.91163,27.658,2250351380239.0,0.39069,925441078500.0,69.1017,683286519149.0,2250351380239.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,21.85025,,31.35569,,126368966.67,1.01011,21445317.0,128.81295,45375748.91,126368966.67
NVTK.MM,Novatek PAO,41.72647,,30.14212,,699139000000.0,0.5279,1319578587600.0,63.46261,384755000000.0,699139000000.0
PEA.TO,Pieridae Energy Ltd,47.83675,,28.52064,,84183385.0,-0.06885,23193230.32,0.06379,70101049.0,84183385.0
ENER.KW,Energy House Holding Company KSCP,11.55957,,,,76682806.0,-0.08193,65250000.0,0.10873,62716129.0,76682806.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,68.52798,22.17319,22.17319,,48926000000.0,0.09546,26255000000.0,19.35099,30164000000.0,48926000000.0
SHEL.L,Shell PLC,54.50673,37.9,47.97627,44.75,353116000000.0,0.13851,215603402151.244,26.3563,171966000000.0,353116000000.0
ECHOE.L,Echo Energy PLC,0.20674,,,,9804383.77924,-0.07877,4093473.77518921,,8419952.03538,9804383.77924
DANA.AD,Dana Gas PJSC,26.24585,28.97727,28.97727,28.0,3612000000.0,0.18598,947613764.055651,27.60148,2707000000.0,3612000000.0
ROSN.MM,NK Rosneft' PAO,64.85806,26.778,26.77824,,8736000000000.0,1.00902,2075123216568.6,113.46755,2872000000000.0,8736000000000.0
GALP.LS,Galp Energia SGPS SA,38.23077,36.508,279.60603,38.7,13215417000.0,0.39229,6501743721.151,57.03538,5004537000.0,13215417000.0
GSP.MI,Gas Plus SpA,17.9248,,-234.38155,,581150000.0,0.19561,157093850.76,24.86045,220793000.0,581150000.0
INAI.ZA,INA dd,63.19154,,,,22215000000.0,0.25652,36500000000.0,29.65695,11661000000.0,22215000000.0
601857.SS,PetroChina Co Ltd,72.64087,24.07,24.06996,20.33333,2405376000000.0,0.35604,1895574599550.43,41.37309,1176010000000.0,2405376000000.0
ECO.CN,Ecopetrol SA,71.98414,,42.89664,,110837845000000.0,0.5052,85522732788480.0,70.74448,48021386000000.0,110837845000000.0
CVE.TO,Cenovus Energy Inc,81.74934,32.59,37.74059,28.0,24695000000.0,0.46034,18145395252.27,54.70253,10186000000.0,24695000000.0
NIIS.BEL,NIS ad Novi Sad,64.25516,,17.80688,,361667197000.0,0.54436,126371810000.0,58.97461,183773543000.0,361667197000.0
