Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
MLHYE.EUA,Hydro Exploitations SA,France,,0.392045850750235,61.14716,,119.17293,,7484792.0,0.51872,6286530.0,76.88067,3741272.0,7484792.0,,,2074190.0,126395.0,2017.0
000791.SZ,GEPIC Energy Development Co Ltd,China,BB+,4.76200711787283,83.7872,,12.28138,,19833367661.15,2.07522,7778720862.0,218.10208,5850298016.93,19833367661.15,,,1986702790.0,180068550.22,2017.0
PERENAC1.LM,Peruana de Energia SAA,Peru,A-,5.77782225494471,0.21167,,-5.81199,,145983000.0,0.18242,11582871.56,24.12919,116817000.0,145983000.0,,,14933000.0,13000.0,2017.0
CCE.AX,Carnegie Clean Energy Ltd,Australia,BB+,-5.17223797137589,18.26896,,,,79057982.0,-0.01215,63391953.9,14.38926,61225351.0,79057982.0,,79380,1325620.0,9509006.0,2017.0
1185.HK,China Energine International Holdings Ltd,Hong Kong,B,-5.61102426323296,5.19917,,,,5845669000.0,0.77051,1637744489.66571,82.11269,2064354000.0,5845669000.0,,,263414000.0,32949000.0,2017.0
IFEC.BK,Inter Far East Energy Corporation PCL,Thailand,CCC+,-131.75047893986,78.8263,,,,10014510722.0,,6150174837.7,,-1298466919.0,10014510722.0,,,936606960.0,113772253.0,2017.0
MEGA.KL,Mega First Corporation Bhd,Malaysia,A,13.0404669493206,14.09555,18.25744,18.00161,20.0,1844611000.0,0.07639,1507583247.42,16.76901,1235000000.0,1844611000.0,,,833093000.0,30510000.0,2017.0
0182.HK,Concord New Energy Group Ltd,Hong Kong,BBB+,1.77927068755104,48.43471,,23.6349,,14807138000.0,0.89998,2492969270.52056,109.80364,5181932000.0,14807138000.0,,,1035967000.0,2473637000.0,2017.0
0451.HK,GCL New Energy Holdings Ltd,Hong Kong,CCC+,7.85242420863067,68.73957,-4.64675,-4.64675,2.0,55434344000.0,3.52363,8736479933.13085,402.80257,5620870000.0,55434344000.0,,,3942280000.0,13633917000.0,2017.0
ARN.MI,Alerion Clean Power SpA,Italy,BB,6.80630109111322,52.83148,,40.27727,,362214000.0,1.42854,130039747.936,180.75658,111818000.0,362214000.0,,,52185000.0,531000.0,2017.0
NOVA.BK,Nova Empire PCL,Thailand,BB+,7.65817906131988,20.4869,,,,,-0.17054,2592000000.0,0.13685,,,,,338082720.0,,2017.0
DWLP.PSX,Dawood Lawrencepur Ltd,Pakistan,A,4.43504550096679,50.5002,,42.95113,,22189704000.0,0.81632,11102877492.0,90.44362,9865915000.0,22189704000.0,,,2537377000.0,31653000.0,2017.0
038870.KQ,EcoBio Holdings Co Ltd,Korea; Republic (S. Korea),A-,-10.5542305480771,3.11441,,,,110443550396.0,0.65662,100096228940.0,69.24428,49328717305.0,110443550396.0,,204564000,31671940060.0,789436407.0,2017.0
NEVE.PK,Nevo Energy Inc,United States of America,,,,,,,,,,,,,,,,,2017.0
MDIP.WA,MDI Energia SA,Poland,BBB+,13.6988805117661,0.29152,,22.01518,,105995000.0,0.6152,197805490.74,96.3162,29779000.0,105995000.0,,,174210000.0,151000.0,2017.0
600868.SS,Guangdong Meiyan Jixiang Hydropower Co Ltd,China,AA-,0.689732444699659,74.34645,,13.01145,,2399892905.03,-0.08875,7611576202.79,0.0,2303723529.07,2399892905.03,,,242681410.0,56895072.04,2017.0
600674.SS,Sichuan Chuantou Energy Co Ltd,China,A-,0.981240299874487,11.34124,,0.83787,,29025567128.53,0.21285,44813790086.4,24.18369,22476869652.25,29025567128.53,,22799530,798473600.0,10558072.62,2017.0
ENLT.TA,Enlight Renewable Energy Ltd,Israel,BBB-,-0.051742497637973,20.75908,,26.51116,,1988662000.0,2.57753,895389909.96,306.82139,329850000.0,1988662000.0,,,37388000.0,242878000.0,2017.0
PANP.BU,PannErgy Nyrt,Hungary,A,4.39375869811851,77.44518,,19.3445,,25022736000.0,1.00873,14127673505.0,110.83737,8999843000.0,25022736000.0,,,4699211000.0,494035000.0,2017.0
MORG.BO,Morgan Ventures Ltd,India,BB,0.02682036672999,0.79597,,19.99808,,402201960.0,-0.00295,132840554.0,0.0,397544550.0,402201960.0,,,3221520.0,,2017.0
NPI.TO,Northland Power Inc,Canada,BBB,6.8994780890731,77.15672,,14.2517,,10280517000.0,4.79528,4068795734.9,507.00446,945827000.0,10280517000.0,,,1376256000.0,815785000.0,2017.0
000040.SZ,Tunghsu Azure Renewable Energy Co Ltd,China,BB-,4.85994701074037,18.5476,,6.09554,,28903531696.82,0.06348,18787284471.6,81.17335,11492863894.69,28903531696.82,,35382410,8131025320.0,1859912960.9,2017.0
000722.SZ,Hunan Development Group Co Ltd,China,AA-,2.19640156876257,51.94772,,26.62018,,3139449838.63,-0.22921,4353804685.16,5.41597,2786538045.24,3139449838.63,,,244487720.0,65327249.12,2017.0
NWPN.PK,Now Corp,United States of America,B+,,,,,,,,,,,,,,,,2017.0
CHAR.SI,Charisma Energy Services Ltd,Singapore,B+,-23.0080943278747,70.98869,,,,147863000.0,1.10393,49227492.0922755,115.80365,46138000.0,147863000.0,,,19834000.0,20392000.0,2017.0
EMAE4.SA,EMAE Empresa Metropolitana de Aguas e Energia SA,Brazil,BBB+,9.9211912145177,14.04598,,23.71922,,1245025000.0,-0.08024,336218464.4,10.48599,819875000.0,1245025000.0,,,209510000.0,8106000.0,2017.0
0686.HK,Beijing Energy International Holding Co Ltd,Hong Kong,BB-,4.1137964198182,54.94859,,12.06897,,28594000000.0,2.69821,7777658666.86983,298.16628,5883000000.0,28594000000.0,,,1522000000.0,1829000000.0,2017.0
600163.SS,Zhongmin Energy Co Ltd,China,A-,9.0827058681493,77.08339,,19.27488,,3707345479.72,0.68933,4047834181.5,85.29251,1733831325.9,3707345479.72,,157920,506703080.0,227977818.97,2017.0
ECVG.DE,Encavis AG,Germany,BB-,3.89055867819061,57.75168,32.03641,32.03641,22.0,2519698000.0,1.95392,828765806.868,213.19751,596528000.0,2519698000.0,,,222432000.0,94594000.0,2017.0
AWSL.PK,Atlantic Power and Infrastructure Corp,Canada,,,,,,,,,,,,,,,,,2017.0
WBRE.PK,Wild Brush Energy Inc,United States of America,,,,,,,,,,,,,,,,,2017.0
BEP_u.TO,Brookfield Renewable Partners LP,Bermuda,CCC+,2.88267088281796,87.67797,,63.30935,,30904000000.0,0.76789,6281019775.28027,82.38342,4467000000.0,30904000000.0,,,2602000000.0,355000000.0,2017.0
900957.SS,Shanghai Lingyun Industries Development Co Ltd,China,A-,5.99498542350794,52.80959,,,,1019428004.87,1.25036,2200307040.3,138.08416,423103977.68,1019428004.87,,,98113170.0,129431.0,2017.0
GESI.PK,General European Strategic Investments Inc,United States of America,,,,,,,,,,,,,,,,,2017.0
CGEI.PK,CGE Energy Inc,United States of America,,,,,,,,,,,,,,,,,2017.0
AKSUE.IS,Aksu Enerji ve Ticaret AS,Turkey,BBB+,0.119826144443439,50.65194,,,,64130490.0,1.42441,83937600.0,143.83334,23973012.0,64130490.0,,,6344780.0,8375951.0,2017.0
ORRON.ST,Orron Energy AB,Sweden,A,16.9713284706208,89.53661,51.54744,56.81895,44.78571,5528800000.0,,7794063958.81342,,-350800000.0,5528800000.0,,,1997000000.0,1179800000.0,2017.0
0987.HK,China Renewable Energy Investment Ltd,Hong Kong,A,1.59174955811121,38.06554,,13.3174,,2489619000.0,0.21015,574585255.368,38.22711,1745426000.0,2489619000.0,,,131343000.0,51973000.0,2017.0
2743.T,Pixel Companyz Inc,Japan,BBB-,-50.7960484302605,1.71852,,,,2178916000.0,0.63444,5865274800.0,92.74648,759135000.0,2178916000.0,,562885000,11325172000.0,70824000.0,2017.0
MENC.PK,Millennium Energy Corp,United States of America,,,,,,,,,,,,,,,,,2017.0
RNE.AX,Renu Energy Ltd,Australia,BBB,-51.0516868412574,40.7233,,,,14655000.0,-0.00254,11927445.564,16.54335,8650000.0,14655000.0,0.0,,343000.0,10497000.0,2017.0
FNEC.PK,First National Energy Corp,Canada,B-,,,,,,2437.0,,2496630.7,,-673391.0,2437.0,,,0.0,,2017.0
ADXR.MC,Audax Renovables SA,Spain,B,6.04902576177916,26.03464,,-8.53785,,644937000.0,2.51551,61601662.32,377.50317,78312000.0,644937000.0,,,670645000.0,263000.0,2017.0
600900.SS,China Yangtze Power Co Ltd,China,AA,12.9548318033546,85.43756,16.43172,16.43172,16.35,299398220115.42,0.96547,342980000000.0,100.38503,135101452567.0,299398220115.42,,26381490,50145503770.0,2556286940.01,2017.0
002015.SZ,GCL Energy Technology Co Ltd,China,BB,3.31991764776061,19.56477,,10.37336,,335989789.86,-0.20594,3369919168.25,0.0,297315923.48,335989789.86,,,409899040.0,12642731.3,2017.0
ORA.N,Ormat Technologies Inc,United States of America,BB,8.99964338870696,77.29947,-0.82645,-16.18696,23.0,2623864000.0,0.6682,3236192051.04,70.5103,1211378000.0,2623864000.0,,4953000,692812000.0,260102000.0,2017.0
PIF.TO,Polaris Renewable Energy Inc,Canada,BBB,7.01224669407612,86.14318,,83.13967,,407257888.0,0.70433,216739353.120776,90.31346,187624364.0,407257888.0,,,60106600.0,28166619.0,2017.0
PRIME.BK,Prime Road Power PCL,Thailand,BBB,-73.1220974618811,41.73742,,,,1466819568.0,1.85906,1046865535.24,193.52019,424603825.0,1466819568.0,,,702999440.0,96687236.0,2017.0
1711.T,SDS Holdings Co Ltd,Japan,B,-35.3520766874155,20.0128,,,,2159403000.0,0.96864,4403476800.0,203.86999,78556000.0,2159403000.0,,,1789350000.0,30837000.0,2017.0
SUPER.BK,Super Energy Corporation PCL,Thailand,BBB,7.04847391953985,83.56075,,1.48101,,46870650000.0,1.76208,31998874760.19,178.31108,12724644000.0,46870650000.0,,,5510183000.0,4658076000.0,2017.0
002039.SZ,Guizhou Qianyuan Power Co Ltd,China,BB+,7.61869670027841,94.05091,12.17622,12.17622,9.59,17133952893.94,2.63385,4742841220.86,266.44987,2356568372.66,17133952893.94,,,2419414720.0,211053401.95,2017.0
9514.T,EF On Inc,Japan,BB,14.3893647895895,71.43212,,17.92649,,28168000000.0,0.91926,29080982810.0,120.79482,11902000000.0,28168000000.0,,,11040000000.0,4848000000.0,2017.0
JAPR.NS,Jaiprakash Power Ventures Ltd,India,BBB,2.39767370705566,84.69864,-4.42823,,,371023200000.0,2.8928,28481014649.0,290.78959,77793100000.0,371023200000.0,,,48768700000.0,2299100000.0,2017.0
WWPW.PK,Wind Works Power Corp,Canada,CC,-222.549138434842,0.12922,,,,4672601.0,0.27683,11360599.32,30.11983,1610952.0,4672601.0,,555420,0.0,2559.0,2017.0
PEPP.WA,Polenergia SA,Poland,BBB,3.83738749958144,67.21748,,,,2664264000.0,0.59726,552139096.05,84.92946,1181062000.0,2664264000.0,,193000,2762378000.0,32207000.0,2017.0
VLL.CM,Vidullanka PLC,Sri Lanka,A,21.3091405854659,76.69302,,21.59696,,5303325326.0,1.13976,3862785094.3,118.86377,2184273066.0,5303325326.0,,,974838200.0,669398456.0,2017.0
PSPW.PK,3Power Energy Group Inc,United States of America,CC,,,,,,9481.0,,5027980.1897,,-6417157.0,9481.0,,,0.0,,2017.0
ANFI.BO,Anjani Finance Ltd,India,A,0.997782833528729,0.97845,,21.1558,,167685430.0,0.35394,37549812.4661226,35.69664,122295130.0,167685430.0,,,8262970.0,,2017.0
JYCH.BO,Jayshree Chemicals Ltd,India,A-,-27.2613720657994,15.40283,,185.68408,,332587879.0,-0.44664,351624219.43,4.96533,221574609.0,332587879.0,,,47616180.0,,2017.0
3777.T,FHT Holdings Corp,Japan,BBB,2.59887397822759,2.13814,,15.48827,,2706277000.0,-0.21451,6194519000.0,6.49426,2432918000.0,2706277000.0,,,1297585000.0,255000.0,2017.0
SPCG.BK,SPCG PCL,Thailand,AA+,17.3032304256838,74.47875,2.24391,2.24391,0.3,23026638000.0,0.78772,20235381000.0,94.71495,9714811000.0,23026638000.0,,,6008353000.0,89704000.0,2017.0
VSH.HM,Vinh Son Song Hinh Hydropower JSC,Vietnam,A-,4.74090323016908,83.1372,6.11624,11.53853,,6752783169656.0,1.06391,3547349431200.0,123.17547,2904728347703.0,6752783169656.0,,,526698194630.0,1254916196987.0,2017.0
VEER.BO,Veer Energy & Infrastructure Ltd,India,A-,0.937658368573777,21.01651,,-17.48664,,713620000.0,-0.18475,325441537.5,1.29975,608579000.0,713620000.0,,,141869000.0,2291000.0,2017.0
SOLR.V,Solar Alliance Energy Inc,Canada,A-,,2.74589,,,,2296375.0,,6261046.09,,-4758796.0,2296375.0,,,4602680.0,0.0,2017.0
TBC.HM,Thacba Hydro Power JSC,Vietnam,AA+,21.0118127112432,41.16989,,19.83522,,888075658758.0,-0.39313,1524000000000.0,,861626216410.0,888075658758.0,,,342841574220.0,5993345134.0,2017.0
NWF.NZ,NZ Windfarms Ltd,New Zealand,A+,1.97801844650834,78.65555,,1990.64103,,56722000.0,0.21248,36872138.752,26.54356,44135000.0,56722000.0,,,7682000.0,9463000.0,2017.0
INWI.NS,Indowind Energy Ltd,India,BBB,0.377171250302761,81.00899,,,,3137282775.0,0.39279,664086996.4,42.58328,2126138272.0,3137282775.0,,,311558000.0,,2017.0
1407.T,West Holdings Corp,Japan,BBB+,10.7598291060516,19.75175,,41.0738,,73796000000.0,0.41352,21570278400.0,269.84745,15914000000.0,73796000000.0,,0,52509000000.0,391000000.0,2017.0
VPEL.CM,Vallibel Power Erathna PLC,Sri Lanka,AAA,33.551952633783,81.76213,,10.09355,,2805637133.0,-0.05835,5453901036.3,6.43915,2245130479.0,2805637133.0,,,1117601890.0,1817443.0,2017.0
VLTSA.PA,Voltalia SA,France,BB,6.03099144136305,67.80799,64.46388,64.46388,34.0,912245000.0,0.86861,496283774.22,106.9037,321965000.0,912245000.0,,,180047000.0,80404000.0,2017.0
KEGN.NR,Kenya Electricity Generating Company Ltd,Kenya,A-,3.46598859616982,87.58403,32.81968,32.81976,26.5,379353005000.0,0.66995,46165590436.0,69.38761,190103625000.0,379353005000.0,,,35883633000.0,14861912000.0,2017.0
0527.HK,China Ruifeng Renewable Energy Holdings Ltd,Hong Kong,BB-,7.9706800260375,66.85423,,56.7993,,2450874000.0,1.33998,988889084.228861,145.29684,682000000.0,2450874000.0,,,389996000.0,11928000.0,2017.0
REO.CD,Reservoir Capital Corp,Canada,AA,,,,,,,-1.51811,2408221.2,104.27816,,,,,0.0,,2017.0
SNFL.TA,Sunflower Sustainable Investments Ltd,Israel,BBB,-0.576451589477943,65.63949,,7.17116,,679501000.0,1.08874,161858450.768,122.4674,279113000.0,679501000.0,,,35667000.0,1160000.0,2017.0
ESUN.S,Edisun Power Europe AG,Switzerland,BBB-,4.73110379301749,77.75173,,0.38511,,118598000.0,2.91198,21263106.0,408.66715,19222000.0,118598000.0,,,9522000.0,7611000.0,2017.0
HNOI.PK,HNO International Inc,United States of America,B,-24.6913580246914,,,,,71000.0,-1.0,,,71000.0,71000.0,,,0.0,,2017.0
HJS.HN,Nam Mu Hydropower JSC,Vietnam,AA+,16.8106681783948,86.01741,,13.06407,,468943359505.0,0.48041,470399641600.0,53.61694,288913243840.0,468943359505.0,,,166703670860.0,2818890909.0,2017.0
SJD.HM,Can Don Hydro Power JSC,Vietnam,AA+,17.0741616443575,56.67991,,11.47586,,1436770064767.0,0.07663,1624917501000.0,23.7253,1096447392955.0,1436770064767.0,,,495020985160.0,3314001564.0,2017.0
TMP.HM,Thac Mo Hydropower JSC,Vietnam,AA,32.0486809425633,37.2191,,18.74403,,1347343489251.0,-0.33426,2345000000000.0,17.46519,1008845212468.0,1347343489251.0,,,700106708460.0,8677383808.0,2017.0
SLGN.TA,Solegreen Ltd,Israel,BB-,-0.518210596280149,47.60667,,-260.68711,,100049000.0,0.32636,35704081.632,61.40908,58620000.0,100049000.0,,,7402000.0,25135000.0,2017.0
SLRS.MC,Solaria Energia y Medio Ambiente SA,Spain,BB+,6.09532906912829,80.67159,,-94.44301,,280887000.0,3.50544,178657832.16,390.1307,55698000.0,280887000.0,0.0,,31124000.0,45621000.0,2017.0
NCEN.PK,Nacel Energy Corp,United States of America,CCC,-441.514877823396,22.74677,,,,731172.0,-0.66989,22003860.0,53.22082,469741.0,731172.0,,0,0.0,138159.0,2017.0
INE.TO,Innergex Renewable Energy Inc,Canada,BB+,4.62095524143064,76.08332,,27.06483,,4190456000.0,7.03256,1563956395.2,716.91604,438342000.0,4190456000.0,,,400263000.0,135656000.0,2017.0
TENr.AT,Terna Energy SA,Greece,BBB,8.85837601053915,70.0319,34.89433,34.89433,40.5,1603318000.0,1.11223,482076504.0,149.78843,512666000.0,1603318000.0,432967.0,1081000,276535000.0,229194000.0,2017.0
002210.SZ,Shenzhen Feima International Supply Chain Co Ltd,China,BB+,5.22385076960857,1.10802,,19.48059,,21488394364.73,1.64377,20462659178.68,343.61176,4138692259.11,21488394364.73,,20174120,61384323960.0,14076964.33,2017.0
BLSP.PK,Blue Sphere Corp,United States of America,CCC+,,0.0,,,,1032000.0,0.22258,7355965.33,118.3871,310000.0,1032000.0,,,0.0,0.0,2017.0
FIGP.WA,Figene Capital SA,Poland,BBB-,0.064568110424934,,,,,7791801.36,0.06593,4515392.8,6.59894,5836972.59,7791801.36,,,128880.0,,2017.0
EA.BK,Energy Absolute PCL,Thailand,A-,12.1806134111875,79.09102,-0.75491,-1.12049,6.01,44530418962.0,1.5731,195825000000.0,187.87048,14667598824.0,44530418962.0,,,11579517640.0,3383147304.0,2017.0
EDPR.LS,EDP Renovaveis SA,Spain,BBB,5.49435759354096,81.27072,9.53797,9.53031,22.75,16223803000.0,0.43206,6077370964.654,46.6779,6693577000.0,16223803000.0,22800000.0,,1827187000.0,1037184000.0,2017.0
RNEW11.SA,Renova Energia SA Em Recuperacao Judicial,Brazil,B-,-5.43021071435843,70.06131,,,,2929337000.0,1.6268,842738432.88,165.85339,779808000.0,2929337000.0,,,734098000.0,21083000.0,2017.0
01C.WA,01Cyberaton Proenergy SA,Poland,A-,1.27637461174505,0.0227,,0.0,,48205568.46,-0.01029,7179991.2,0.18059,47848120.91,48205568.46,,,515000.0,6665.85,2017.0
NHPC.NS,NHPC Ltd,India,A+,4.89784985405252,60.9698,29.7393,8.75495,30.0,629237300000.0,0.44119,284183178376.3,53.6366,317468200000.0,629237300000.0,,,77554300000.0,15635000000.0,2017.0
SEB.HN,Mien Trung Power Investment and Development JSC,Vietnam,A+,27.817053472538,80.5733,,4.19626,,875800505894.0,0.68433,998000000000.0,76.65156,351336072565.0,875800505894.0,,,318070101440.0,13903428103.0,2017.0
GUNKUL.BK,Gunkul Engineering PCL,Thailand,BBB+,4.65338817742638,58.81857,8.93084,11.30319,3.855,30726454730.0,1.46712,29377741112.28,164.41735,8969197266.0,30726454730.0,,,4808677410.0,4715520658.0,2017.0
HPWR.CM,Resus Energy PLC,Sri Lanka,BBB-,12.9016614980043,80.02167,,10.27981,,2487198010.0,1.45325,1161966233.7,163.74502,852418727.0,2487198010.0,,,408644140.0,279322783.0,2017.0
VPC.HNO,Viet Nam Power Investment and Development JSC,Vietnam,BB,-32.879183733006,74.86878,,,,66772104222.0,3.8741,5622523117.56935,396.8406,7721312039.0,66772104222.0,,,21789672310.0,991074207.0,2017.0
SOPV.PK,Solar Park Initiatives Inc,United States of America,,,,,,,,,,,,,,,,,2017.0
0916.HK,China Longyuan Power Group Corp Ltd,China,BB+,9.18174066973227,75.16969,16.754,16.75438,13.81429,145635040000.0,1.36223,37211248124.0422,146.07192,41134851000.0,145635040000.0,7396000000.0,,24591616000.0,9104468000.0,2017.0
ARISE.ST,Arise AB,Sweden,BB+,2.32911392405063,65.81921,,,,2124000000.0,1.16607,434564910.0,133.92645,843000000.0,2124000000.0,,,257000000.0,60000000.0,2017.0
CHP.HM,Central Hydropower JSC,Vietnam,AA-,18.4839422238013,77.13728,,5.10235,,3105531101221.0,0.31391,3332687065950.0,59.48295,1878897289307.0,3105531101221.0,,,860533949340.0,17961070193.0,2017.0
ORIN.NS,Orient Green Power Company Ltd,India,BB,6.76857144741904,78.95617,,,,23725189000.0,2.97678,6756515793.0,300.55244,5315695000.0,23725189000.0,,,3569753000.0,2773000.0,2017.0
SBA.HM,Song Ba JSC,Vietnam,AA,16.2861856120891,89.39799,,6.31555,,1385649735432.0,0.74237,985714211850.0,81.60828,713903040168.0,1385649735432.0,,,333016036440.0,5250330712.0,2017.0
KNR.NLB,Kontrol Technologies Corp,Canada,BBB+,-11.4481124328639,3.68441,,,,10774647.0,1.53015,22450485.6,177.43555,2766502.0,10774647.0,,,6888270.0,129036.0,2017.0
GEG.HM,Gia Lai Electricity JSC,Vietnam,B+,16.5416508576148,67.85705,,9.17199,,1658609034045.0,0.00541,1456369125000.0,18.08033,1176212840587.0,1658609034045.0,,,539100132320.0,46836522441.0,2017.0
1798.HK,China Datang Corp Renewable Power Co Ltd,China,BB,6.20723985330485,82.33781,14.76301,14.76301,20.2,70548248000.0,3.24328,5633481703.80654,333.12458,9414824000.0,70548248000.0,,,7104089000.0,4502828000.0,2017.0
SHP.HM,Southern Hydropower JSC,Vietnam,AAA,12.5381140813024,89.73304,,3.34137,,2473073396067.0,0.8866,2108479500000.0,99.39265,1217062795165.0,2473073396067.0,,,616963731650.0,9076178778.0,2017.0
HYDP.CM,Lotus Hydro Power PLC,Sri Lanka,AA-,9.58261298594402,91.35583,,42.65223,,795971846.0,0.11226,567258182.4,13.2671,628366461.0,795971846.0,,,192691450.0,13529023.0,2017.0
MLEES.EUA,Galatia Energie SA,France,,,,,,,,,,,,,,,,,2017.0
ALTS.BU,Alteo Energiaszolgaltato Nyrt,Hungary,A+,13.4723920566503,35.33616,,11.41272,,16652120000.0,0.3835,11628450800.0,115.80732,5145196000.0,16652120000.0,,,18389284000.0,1529618000.0,2017.0
PANA.CM,Panasian Power PLC,Sri Lanka,A,16.7104896697723,65.32683,,23.74299,,2348386248.0,0.47947,1350000000.0,54.06356,1307388547.0,2348386248.0,,,489392820.0,9641738.0,2017.0
ENRG.TA,Energix Renewable Energies Ltd,Israel,A-,3.74281855663152,78.79571,,23.99658,,1527488000.0,0.92288,1269762958.66,106.37575,682529000.0,1527488000.0,,,141367000.0,95859000.0,2017.0
ABOG.DE,clearvise AG,Germany,BB,1.66881595462482,87.84847,-29.323,,15.0,241769888.91,3.71216,76930000.0,400.18801,44421564.24,241769888.91,,,26419640.0,402000.0,2017.0
1165.HK,Shunfeng International Clean Energy Ltd,China,CCC+,3.80488374800238,59.45747,,,,25325942000.0,2.49125,1508978828.49261,263.59891,4041194000.0,25325942000.0,,138434000,10017432000.0,1091832000.0,2017.0
KRME.NS,Karma Energy Ltd,India,BB+,4.43989625421247,42.00464,,,,1834602000.0,0.78642,358667458.0,85.13753,815822000.0,1834602000.0,,,402953000.0,141000.0,2017.0
AEGA.OL,Aega ASA,Norway,B+,2.15387400334579,82.39013,,,,20307943.0,1.85292,4457242.78774339,196.80184,6229582.0,20307943.0,,,3193470.0,,2017.0
1281.HK,Xinda Investment Holdings Ltd,China,BB-,13.8768963718713,24.609,,14.12682,,1951924000.0,1.06333,1645386356.73911,120.10192,776080000.0,1951924000.0,,,897902000.0,115549000.0,2017.0
PUNTILLA.SN,Electrica Puntilla SA,Chile,BBB+,-0.208981635286311,66.31452,,,,255490560000.0,0.37813,150178324000.0,41.25372,148348015000.0,255490560000.0,,,20943274000.0,17902498000.0,2017.0
601016.SS,CECEP Wind-Power Corp,China,BBB-,5.51633441976361,79.03926,12.66379,13.62509,15.0,19952376556.59,1.28522,13671792400.0,148.95191,6683815030.07,19952376556.59,,1505660,1871449200.0,2657258624.15,2017.0
DRL.HM,Hydro Power JSC-Power No.3,Vietnam,AAA,47.6659527290149,30.57792,,5.80857,,153271614640.0,-0.6417,481650000000.0,,140804555060.0,153271614640.0,,,100518577800.0,836707709.0,2017.0
FDE.MI,Frendy Energy SpA,Italy,AA-,-1.34578930965611,71.41302,,,,30116473.0,0.14489,20114478.4577,49.62716,17720249.0,30116473.0,,,1854250.0,2750000.0,2017.0
WAAE.BO,Waaree Renewable Technologies Ltd,India,,-2.52483955352401,49.29683,,76.23609,,159706000.0,-0.67322,290929940.0,2.44288,102461000.0,159706000.0,,,13011000.0,0.0,2017.0
MEL.NZ,Meridian Energy Ltd,New Zealand,A+,5.00849430566916,91.9949,,32.09459,,8632000000.0,0.30292,7996560000.0,31.53639,4823000000.0,8632000000.0,,,2762000000.0,55000000.0,2017.0
AMTL.BO,Advance Metering Technology Ltd,India,BBB,-3.67374891310225,55.68456,,,,2131118900.0,0.04141,365307351.5,56.31949,1257134020.0,2131118900.0,,,416317110.0,120416380.0,2017.0
CKP.BK,CK Power PCL,Thailand,A-,2.86257656227847,52.98891,5.04247,5.04247,5.2,60461601004.0,0.78162,29774800000.0,92.72384,17748412776.0,60461601004.0,,,6878722180.0,302963228.0,2017.0
UKWG.L,Greencoat UK Wind PLC,United Kingdom,BB+,5.07011585940971,,,-2.36296,,1413128000.0,0.22646,1263015992.656,23.16353,1144040000.0,1413128000.0,,,81744000.0,,2017.0
TSE.BK,Thai Solar Energy PCL,Thailand,BBB-,-1.01599339154622,42.17477,,0.71617,,12218443041.0,1.39075,8929800000.0,149.44609,4618590768.0,12218443041.0,,,229003650.0,1736574125.0,2017.0
EAM.OL,EAM Solar ASA,Norway,B+,-0.173769178765679,70.9453,3.91712,,32.0,30177040.0,0.83435,22550395.1761228,86.75325,13858528.0,30177040.0,,,4213340.0,132043.0,2017.0
CWENa.N,Clearway Energy Inc,United States of America,BB,4.02291844447153,63.72953,146.94,-134.69388,22.9,8489000000.0,2.70959,3488491569.3,277.8138,1747000000.0,8489000000.0,,,1009000000.0,190000000.0,2017.0
1250.HK,Shandong Hi-Speed New Energy Group Ltd,Hong Kong,B,12.5181635545329,43.24897,15.353,15.35291,15.0,35995682000.0,1.43668,16834230220.105,196.67513,8560906000.0,35995682000.0,,,10039549000.0,4399112000.0,2017.0
TRIG.L,Renewables Infrastructure Group Ltd,Guernsey,BB,9.91964408067842,,,0.0,,984965000.0,-0.01083,1028814453.474,,982775000.0,984965000.0,,,93097000.0,,2017.0
RNW.TO,TransAlta Renewables Inc,Canada,BBB+,4.74885844748858,51.51599,20.0,74.5098,36.2,3628000000.0,0.46563,3354358491.9,47.47383,2161000000.0,3628000000.0,,,459000000.0,38000000.0,2017.0
AKI.MC,Akiles Corporation ED,Bulgaria,,-9.63799639250335,42.58872,,,,60725000.0,0.61939,42139788.48,65.08488,32895000.0,60725000.0,,,7063000.0,1733000.0,2017.0
8326.HK,Tonking New Energy Group Holdings Ltd,Hong Kong,BB,20.4117104183757,11.53213,,22.8051,,701891000.0,0.14081,801640000.0,45.32779,197166000.0,701891000.0,,,685947000.0,40447000.0,2017.0
JPWR_u.V,Jade Power Trust,Canada,A+,7.73551409736548,61.84608,,,,92552433.0,,26972346.5,,-37549001.0,92552433.0,,,12242370.0,178232.0,2017.0
AY.OQ,Atlantica Sustainable Infrastructure PLC,United Kingdom,BBB-,4.79178206660387,86.58003,801.58528,672.28094,30.0,10492339000.0,1.67838,2125608084.6,196.01551,2984735000.0,10492339000.0,,,1008381000.0,12400000.0,2017.0
NEP.N,Nextera Energy Partners LP,United States of America,B+,3.90928455080817,73.81775,23.91,23.84342,18.2125,8395000000.0,1.88542,2338760394.45,195.5163,2188000000.0,8395000000.0,,,807000000.0,349000000.0,2017.0
