Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
MDIP.WA,MDI Energia SA,Poland,BBB+,4.92117596932254,1.97281,,188.25758,,137469000.0,1.08248,114450849.067653,178.04594,30081000.0,137469000.0,,,252294000.0,25000.0,2021.0
600868.SS,Guangdong Meiyan Jixiang Hydropower Co Ltd,China,AA-,1.34582757173089,55.20528,,18.31242,,2783007765.76,-0.05504,5637501576.63,5.69846,2353772196.2,2783007765.76,,7634460,348457580.0,9959255.24,2021.0
600674.SS,Sichuan Chuantou Energy Co Ltd,China,A-,0.6552598660043,15.91907,1.39,1.39004,1.05,48467289300.38,0.32422,55076943000.0,43.05551,31247836918.19,48467289300.38,,26710460,1263333300.0,905489229.9,2021.0
ENLT.TA,Enlight Renewable Energy Ltd,Israel,BBB-,2.14329077758164,56.22178,,20.80401,,8817908000.0,1.96418,7042652046.27732,240.26401,1656505000.0,8817908000.0,,3547000,330875000.0,1463667000.0,2021.0
PANP.BU,PannErgy Nyrt,Hungary,A,5.09282296534777,70.64688,,6.95021,,26883000000.0,1.00291,21896841200.0,116.19238,9980000000.0,26883000000.0,,,6439000000.0,1273000000.0,2021.0
MORG.BO,Morgan Ventures Ltd,India,BB,25.7615007571953,0.17467,,24.65875,,1589316000.0,2.27881,256376330.0,227.97593,471702000.0,1589316000.0,,,166871000.0,,2021.0
NPI.TO,Northland Power Inc,Canada,BBB,27.9058063780066,74.44451,,36.23364,,12877331000.0,2.39785,8602144374.45,262.501,2756879000.0,12877331000.0,,,2093255000.0,469793000.0,2021.0
000040.SZ,Tunghsu Azure Renewable Energy Co Ltd,China,BB-,1.32199415706217,36.07476,,,,26152927015.0,0.72051,5813676831.7,75.49196,11614874940.49,26152927015.0,,30479480,3876723010.0,296151595.34,2021.0
000722.SZ,Hunan Development Group Co Ltd,China,AA-,2.56498033911513,40.22641,,15.45461,,3344786079.7,-0.13794,4121725544.16,3.60494,3118253955.12,3344786079.7,,8125780,478395470.0,200947492.58,2021.0
NWPN.PK,Now Corp,United States of America,B+,,,,,,,,,,,,,,,,2021.0
CHAR.SI,Charisma Energy Services Ltd,Singapore,B+,,52.7902,,,,66196000.0,,,,-33977000.0,66196000.0,,,13579000.0,33000.0,2021.0
EMAE4.SA,EMAE Empresa Metropolitana de Aguas e Energia SA,Brazil,BBB+,1.76991404990175,13.85719,,21.14974,,1632597000.0,-0.43232,2807608913.16,0.0,737734000.0,1632597000.0,,,529024000.0,7491000.0,2021.0
0686.HK,Beijing Energy International Holding Co Ltd,Hong Kong,BB-,6.02253277408919,59.04807,,13.44874,,46159000000.0,2.98785,5390985981.46407,350.96774,6109000000.0,46159000000.0,,,2825000000.0,2845000000.0,2021.0
600163.SS,Zhongmin Energy Co Ltd,China,A-,10.4690412843165,71.05466,,5.59213,,11336385455.9,0.40072,16689276174.11,57.06813,5026362554.79,11336385455.9,,,1532634230.0,544272585.57,2021.0
ECVG.DE,Encavis AG,Germany,BB-,4.78236835034562,67.63146,1.02,1.02143,23.58,3215888000.0,1.35467,2496902027.92,172.43517,817619000.0,3215888000.0,,,332703000.0,43181000.0,2021.0
AWSL.PK,Atlantic Power and Infrastructure Corp,Canada,,,,,,,,,,,,,,,,,2021.0
