Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,12.3461715502822,53.57351,8.86846,8.86845,26.51429,5854493210000.0,0.38731,2061907761863.4,43.0017,2598519190000.0,5854493210000.0,6070000000.0,64064500000.0,5317618310000.0,2021.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,5.5066159920215,70.9402,,101.27042,,2390068000000.0,0.82435,306134012216.35,95.84008,839892000000.0,2390068000000.0,,925000000.0,1271330000000.0,2021.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,8.62543964335364,18.17091,,,,5841192913000.0,-0.25959,1737139650235.25,,5435155890000.0,5841192913000.0,,,,2021.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,15.8802167974914,62.6865,17.95,17.94786,,4960473000000.0,0.09966,2612516831166.54,32.60103,2348082000000.0,4960473000000.0,,435000000.0,3068442000000.0,2021.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,13.9597617174328,72.20506,,31.16788,,27192000000.0,0.62359,92573624031.25,91.19154,12295000000.0,27192000000.0,,,7789000000.0,2021.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,24.5935115919542,64.7764,,19.02765,,59708656125.85,1.29393,42940038609.06,139.06132,21121135036.3,59708656125.85,,299788530.0,24864951200.0,2021.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,31.6743353543683,42.19345,72.84615,72.83693,65.27,147120000000.0,0.07585,87305423591.709,92.86337,39010000000.0,147120000000.0,,1004000000.0,88744000000.0,2021.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,11.5173547430154,51.76018,15.70525,15.70525,,49969900000.0,-0.32541,28265410059.165,2.72194,34213340000.0,49969900000.0,,102560000.0,26011130000.0,2021.0
PTT.BK,PTT PCL,PTT,Thailand,A-,10.9630854504683,52.28782,30.77079,30.77079,23.43333,3078018833338.0,0.39795,1080209886837.31,64.485,1006696222041.0,3078018833338.0,,,2258818487070.0,2021.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,11.6331335008018,19.53173,,22.57689,,223290985.82,1.66256,38685927.9432425,207.73565,59849006.77,223290985.82,,,1512309300.0,2021.0
